owner/repo,ageRepoDays,stargazersCount,watchersCount,language,forksCount,openIssuesCount,subscribersCount,has_wiki,acceptanceRepo,followers,followers_D,followers_boolean,following,ageUser,totalPullDeveloper,requester_experience,mergedPullUser,closedPullUser,rejectUser,acceptanceDeveloper,rate_acceptance_developer,first_Pull,watchRepo,location,idPull,numberPull,login,state,title,createdDate,mesAno,closedDate,mergedDate,lifetimeMinutes,life_time,closedBy,mergedBy,status,commitHeadSha,commitBaseSha,assignee,comments,comments_D,commitsPull,commitsPull_D,commitsbyFilesPull,authorMoreCommits,participants,additionsLines,deletionsLines,totalLines,total_lines_D,changedFiles,changedFiles_D,dirFinal,files,typeDeveloper,requesterFollowsCoreTeam,coreTeamFollowsRequester,requester_experience_project
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,19,more than 10,has followers,8,1062,0,no experience,0,0,0,0,First_Pull,True,true,Waterloo  Ontario  Canada,26414314,1957,araghava,closed,Css: Add unit tests for negative margins and positioning,2014-12-20T09:12:54Z,122014,23/12/2014 21:34,,5061,Medium,markelog,,closed,00d5d3924f03d4c4d66145493a6ecbe5445547c9,d6c97abb744bfe8c67ab9158aecdb5bb1c05e47b,,0,no comments,1,1 commit,0,,araghava|dmethvin|markelog,15,0,15,some lines,1,1 file,test/unit,test/unit/css.js,external,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,1,1 to 3 followers,has followers,2,1383,0,no experience,0,0,0,0,First_Pull,True,false,Sweden,26418063,1958,rasapetter,closed,Core: Optimize for selector strings starting with an #id,2014-12-20T16:46:14Z,122014,20/12/2014 17:49,,63,Very Fast,dmethvin,,closed,eb9c91a145b61c815b3a94f8c106b03d8bb803cc,d6c97abb744bfe8c67ab9158aecdb5bb1c05e47b,,0,no comments,1,1 commit,6,,rasapetter|dmethvin,7,1,8,some lines,1,1 file,src/core,src/core/init.js,external,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,19,more than 10,has followers,8,1062,1,little experience,0,1,100,0,First_Pull,True,true,Waterloo  Ontario  Canada,26423682,1959,araghava,closed,Event: fixing incorrect window bug with scrollTop/Left in iframes,2014-12-21T02:58:41Z,122014,23/12/2014 21:34,,3995,Fast,markelog,,closed,25c7c6fe5e337180c99b9886a3ec88c7590a9f60,d6c97abb744bfe8c67ab9158aecdb5bb1c05e47b,,12,has comments,1,1 commit,8,,araghava|jxnl|dmethvin|markelog|FagnerMartinsBrack|mzgol|jzaefferer|Krinkle,17,2,19,some lines,2,some files,src|test/unit,src/offset.js|test/unit/offset.js,core,false,false,some contributions
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,7,7 to 10 followers,has followers,4,1129,0,no experience,0,0,0,0,First_Pull,True,false,Beijing  China,26577398,1970,xfq,closed,Update README.md,2014-12-25T08:31:57Z,122014,07/01/2015 02:06,,18334,Very Slow,dmethvin,,closed,3f49e73652ec9c4aa8f05d4c77c614f4e99745e6,76df9e4e389d80bff410a9e5f08b848de1d21a2f,,4,has comments,1,1 commit,0,,xfq|markelog|mzgol|arthurvr|dmethvin,1,1,2,some lines,1,1 file,root,README.md,external,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,7,7 to 10 followers,has followers,4,1129,1,little experience,0,1,100,0,First_Pull,True,false,Beijing  China,26577438,1971,xfq,closed,Update README.md,2014-12-25T08:34:13Z,122014,03/01/2015 18:43,,13568,Slow,mzgol,,closed,71ebc3b5d0810cf46830682579054cf351c6c92a,76df9e4e389d80bff410a9e5f08b848de1d21a2f,,0,no comments,1,1 commit,0,,xfq|arthurvr|mzgol,1,1,2,some lines,1,1 file,root,README.md,external,false,false,some contributions
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,1,1 to 3 followers,has followers,0,1809,2,little experience,0,2,100,0,First_Pull,True,true,,26592478,1975,FarSeeing,closed,Ajax: simplify XHR detection.,2014-12-26T07:14:03Z,122014,18/05/2015 15:51,,206497,Very Slow,timmywil,,closed,8432ed59099b6c339870f46f341c67e95be54fd8,76df9e4e389d80bff410a9e5f08b848de1d21a2f,,0,no comments,1,1 commit,0,,FarSeeing|mzgol|markelog|dmethvin|jaubourg|timmywil,7,21,28,many lines,2,some files,src/ajax|test/unit,src/ajax/xhr.js|test/unit/support.js,external,false,false,some contributions
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,39,more than 10,has followers,2,1619,1,little experience,0,1,100,0,First_Pull,True,false,Ukraine  Kyiv,26592595,1976,nazar-pc,closed,Offset: `$.fn.offset()` on element inside shadowRoot,2014-12-26T07:19:35Z,122014,25/02/2015 16:31,,88452,Very Slow,gibson042,,closed,6e179192a0ec0e83f7e0648ce28a1e4117fd5b60,e905dcd8f33e99275e29b0333e7b255559197c81,,4,has comments,9,many commits,8,nazar-pc,nazar-pc|mzgol|dmethvin|deshawnbw|gibson042,54,4,58,many lines,3,some files,src|test/unit|root,src/offset.js|test/unit/offset.js|AUTHORS.txt,external,false,false,some contributions
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,19,more than 10,has followers,8,1062,2,little experience,0,2,100,0,First_Pull,True,true,Waterloo  Ontario  Canada,26610241,1977,araghava,closed,Event: fixing pageX/pageY mouse information in drag events,2014-12-27T02:25:01Z,122014,05/01/2015 20:40,,14055,Slow,dmethvin,,closed,1f62510ac09141475ea6ab7c746e1bbd91f03751,76df9e4e389d80bff410a9e5f08b848de1d21a2f,dmethvin,0,no comments,1,1 commit,1,,araghava|dmethvin,15,1,16,some lines,2,some files,src|test/unit,src/event.js|test/unit/event.js,core,false,false,some contributions
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,3,1 to 3 followers,has followers,0,987,1,little experience,0,1,100,0,First_Pull,True,false,UK,26742163,1982,benhc123,closed,Updated license date,2015-01-01T10:46:14Z,12015,01/01/2015 14:32,,226,Very Fast,scottgonzalez,,closed,97a9f6f8b34223fd03b151812e7ad9a246586cf2,76df9e4e389d80bff410a9e5f08b848de1d21a2f,,0,no comments,1,1 commit,0,,benhc123|scottgonzalez|Kangaroopower,1,1,2,some lines,1,1 file,root,LICENSE.txt,external,false,false,some contributions
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,105,more than 10,has followers,18,1738,0,no experience,0,0,0,0,First_Pull,True,false,London,26745764,1983,agcolom,closed,Build: Remove dates from copyright notice,2015-01-01T19:41:28Z,12015,03/01/2015 21:12,,2971,Fast,dmethvin,,closed,d4a39aa0d7a69641735a76cc9973e377797e521e,76df9e4e389d80bff410a9e5f08b848de1d21a2f,dmethvin,7,has comments,2,some commits,1,,agcolom|mzgol|staabm|markelog|dmethvin,3,4,7,some lines,3,some files,root|root|src,Gruntfile.js|LICENSE.txt|src/intro.js,external,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,7,7 to 10 followers,has followers,7,1647,0,no experience,0,0,0,0,First_Pull,True,false,Toronto  Canada,26788571,1988,LeonardoBraga,closed,Add support to tag-hyphenated elements,2015-01-04T00:02:23Z,12015,13/01/2015 04:58,,13256,Slow,markelog,,closed,a65f36598e657ea9914c3416364db09f6eb504a5,66e1b6b8d49812239b5712d65922ff94c60f7b02,,19,has comments,2,some commits,4,,LeonardoBraga|markelog|gibson042|dmethvin|mzgol|mbest|rwaldron,33,3,36,many lines,4,some files,src|test/unit|src/core/var|test/unit,src/manipulation.js|test/unit/manipulation.js|src/core/var/rsingleTag.js|test/unit/core.js,core,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,45,more than 10,has followers,5,2468,0,no experience,0,0,0,0,First_Pull,True,false,New Orleans,26867334,1995,togakangaroo,closed,ajax: post and get accept config object [issue #1986],2015-01-06T03:04:19Z,12015,12/01/2015 01:50,,8565,Medium,dmethvin,,closed,6f8c4f4392eb5c17f757522f9d3fe48841cdd7dd,97cf5280824027c3d4fcdbb4db49c10ad3c62bce,,11,has comments,4,some commits,2,,togakangaroo|dmethvin|mzgol,22,2,24,many lines,2,some files,test/unit|src,test/unit/ajax.js|src/ajax.js,core,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,112,more than 10,has followers,0,2224,33,very experienced,1,32,96,3,25%,False,true,London  United Kingdom,26984108,1998,Krinkle,closed,Core: Return empty array instead of null for parseHTML(  ),2015-01-07T20:13:16Z,12015,19/01/2015 16:39,,17065,Very Slow,timmywil,,closed,2016569522925594f3a2ebb498015947dde708ce,74ae5444832b2fb966768a97281d2ad8c088bc58,,9,has comments,1,1 commit,3,dmethvin,Krinkle|gibson042|timmywil|dmethvin,11,6,17,some lines,2,some files,src/core|test/unit,src/core/parseHTML.js|test/unit/core.js,external,false,false,many contributions
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,55,more than 10,has followers,51,1655,2,little experience,0,2,100,0,First_Pull,True,true,Paris,27295388,2011,Mr21,closed,.css()  the values like +=10  aren´t ignored anymore (like .animate()),2015-01-13T19:03:06Z,12015,09/03/2015 17:37,,79174,Very Slow,gibson042,,closed,90394cf45f9da7cb5409fe6a99688ebe637e00db,3747cc642a48d2a5a8ac83069f66bddd33bea301,,24,has comments,2,some commits,0,,Mr21|gibson042|timmywil|arthurvr,135,58,193,many lines,5,many files,root,,external,false,false,some contributions
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,19,more than 10,has followers,14,2201,0,no experience,0,0,0,0,First_Pull,True,true,bluelovers,27559407,2016,bluelovers,closed,support css value !important,2015-01-17T17:31:23Z,12015,18/02/2015 20:50,,46278,Very Slow,timmywil,,closed,780923e8ac2fa9319fc4cef28c52e95e43b454bc,d7e5fcee519e5f3e840beef9e67a536e75133df9,,0,no comments,2,some commits,0,,bluelovers|dmethvin|mzgol|timmywil,12,1,13,some lines,2,some files,root,,external,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,81,more than 10,has followers,10,1166,0,no experience,0,0,0,0,First_Pull,True,false,Shanghai,27771319,2020,coderhaoxin,closed,Ajax: auto stringify data,2015-01-21T16:08:03Z,12015,22/01/2015 02:38,,630,Very Fast,dmethvin,,closed,f68ebc9e8fb14caad4a72b0cd7f5a23a68c9102c,e905dcd8f33e99275e29b0333e7b255559197c81,,0,no comments,1,1 commit,1,jaubourg,coderhaoxin|dmethvin,19,1,20,some lines,2,some files,src|test/unit,src/ajax.js|test/unit/ajax.js,external,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,12,1,1 to 3 followers,has followers,6,1241,0,no experience,0,0,0,0,First_Pull,True,true,Guadalajara,27857463,2022,elinformatico,closed,Adding a simple symbol to separate the description ´:´,2015-01-22T16:48:16Z,12015,22/01/2015 16:59,,10,Very Fast,mzgol,,closed,6ce15620653d593e3cf1d63d36fcfb7681c741db,e905dcd8f33e99275e29b0333e7b255559197c81,,0,no comments,1,1 commit,0,,elinformatico|mzgol,1,1,2,some lines,1,1 file,root,README.md,external,false,false,no contribution
